"b","xL","x_kappa","x_lambda","xU","converged","message"
-1.06,-1.24504665310859,-0.338034309949949,0.331394529320522,1.10908710051946,TRUE,"Function criterion near zero"
-1.05,-1.25159115227169,-0.345977735878643,0.323596531443998,1.10331322401202,TRUE,"Function criterion near zero"
-1.04,-1.25814304697338,-0.353917564642133,0.315802847984973,1.09755858122752,TRUE,"Function criterion near zero"
-1.03,-1.26470213186652,-0.36185366654266,0.308013610437673,1.09182336872006,TRUE,"Function criterion near zero"
-1.02,-1.27126820259962,-0.369785912283034,0.300228949883486,1.08610778225281,TRUE,"Function criterion near zero"
-1.01,-1.27784105582272,-0.377714172974171,0.292448996983042,1.08041201675931,TRUE,"Function criterion near zero"
-1,-1.28442048919316,-0.385638320142559,0.284673881968346,1.0747362663038,TRUE,"Function criterion near zero"
-0.99,-1.2910063013811,-0.393558225737892,0.276903734634783,1.06908072404086,TRUE,"Function criterion near zero"
-0.98,-1.29759829207519,-0.401473762140811,0.269138684332969,1.06344558217415,TRUE,"Function criterion near zero"
-0.97,-1.30419626198798,-0.409384802170747,0.261378859960464,1.05783103191429,TRUE,"Function criterion near zero"
-0.96,-1.31080001286141,-0.417291219093934,0.253624389953413,1.05223726343602,TRUE,"Function criterion near zero"
-0.95,-1.3174093474722,-0.425192886631418,0.245875402278013,1.0466644658343,TRUE,"Function criterion near zero"
-0.94,-1.32402406963716,-0.433089678967313,0.23813202442189,1.04111282707982,TRUE,"Function criterion near zero"
-0.93,-1.33064398421858,-0.440981470757111,0.230394383385292,1.03558253397349,TRUE,"Function criterion near zero"
